source	target	edge_class	interpretation
"ad"	"ld_block"	"present_study"	"AD association maps to the local configuration"
"cholesterol"	"ld_block"	"present_study"	"cholesterol associations map to the same local configuration"
"ld_block"	"exact_splice"	"present_study"	"the locus resolves to exact transcript processing"
"exact_splice"	"replication"	"independent_context"	"identical-coordinate replication"
"exact_splice"	"ec2_boundary"	"reference_annotation"	"coding boundary localization"
"ld_block"	"microglia"	"present_study"	"isolated-microglia exact sQTL"
"ld_block"	"neural_eqtl"	"independent_context"	"single-nucleus total-expression eQTL"
"ld_block"	"ad_state_rna"	"independent_context"	"disease-state abundance assessed separately"
"ld_block"	"published_editing"	"published_perturbation"	"published editing anchor"
"published_editing"	"adam10"	"published_perturbation"	"published cell-surface ADAM10 result"
"published_editing"	"trem2"	"published_perturbation"	"published soluble TREM2 result"
"exact_splice"	"ec2_boundary"	"reference_annotation"	"reference localization"
"ec2_boundary"	"isoform_prediction"	"prediction"	"protein isoform prediction"
"ec2_boundary"	"substrate_prediction"	"prediction"	"trafficking and cleavage prediction"
"ec2_boundary"	"lipid_state_prediction"	"prediction"	"lipid-state phenotype prediction"
