analysis_module	purpose	public_script	original_script	external_data_ids	retained_inputs	expected_outputs	manuscript_claim_ids
01_genetic_architecture	Baseline AD-lipid LDSC	code/01_genetic_architecture/01_run_baseline_ldsc.py	scripts/11_run_iteration6_ldsc.py	D01;D02;D03;D04	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R1
01_genetic_architecture	Pair-harmonized LDSC	code/01_genetic_architecture/02_run_pair_harmonized_ldsc.py	scripts/12_run_iteration6_ldsc_pair_harmonized.py	D01;D02;D03;D04	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
01_genetic_architecture	Parse LDSC logs	code/01_genetic_architecture/03_parse_ldsc_results.py	scripts/13_parse_iteration6_ldsc_logs.py	D01;D02;D03;D04	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
01_genetic_architecture	Extended-APOE LD-based conditioning	code/01_genetic_architecture/04_run_extended_apoe_ld_conditioning.py	scripts/247_p1_apoe_conditional_ldsc.py	D01;D02;D03;D04	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R1
01_genetic_architecture	Physical-window sensitivity through 5 Mb	code/01_genetic_architecture/05_run_apoe_window_sensitivity.py	scripts/168_p0_apoe_window_ldsc.py	D01;D02;D03;D04	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R1
02_colocalization_and_finemapping	Regional multiple-signal colocalization	code/02_colocalization_and_finemapping/01_run_regional_coloc_susie.R	scripts/18_run_iteration7_ldaware_coloc_susie.R	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R2
02_colocalization_and_finemapping	Multi-trait HyPrColoc	code/02_colocalization_and_finemapping/02_run_hyprcoloc.R	scripts/19_run_iteration7_ldaware_hyprcoloc.R	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R2
02_colocalization_and_finemapping	SuSiE fine-mapping	code/02_colocalization_and_finemapping/03_run_susie_finemapping.R	scripts/22_run_iteration7_ldaware_susie_finemapping.R	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R3
02_colocalization_and_finemapping	TSPAN14 multi-trait model	code/02_colocalization_and_finemapping/04_run_tspan14_multitrait_hyprcoloc.R	scripts/163_p0_tspan14_hyprcoloc_reanalysis.R	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R2
02_colocalization_and_finemapping	TSPAN14 colocalization sensitivity	code/02_colocalization_and_finemapping/05_run_tspan14_coloc_sensitivity.R	scripts/166_p0_tspan14_coloc_susie_sensitivity.R	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
02_colocalization_and_finemapping	LD-block functional annotation	code/02_colocalization_and_finemapping/06_annotate_tspan14_ld_block.py	scripts/142_ld_block_functional_annotation.py	D01;D02;D03;D05;D14;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R3
03_exact_splicing	Risk-allele harmonization	code/03_exact_splicing/01_harmonize_microglial_sqtl_alleles.py	scripts/95_harmonize_miga_sqtl_alleles.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R4
03_exact_splicing	Coordinate and method audit	code/03_exact_splicing/02_define_exact_exon5_6_event.py	scripts/96_annotate_splice_event_and_methods_trace.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R4
03_exact_splicing	Exact-event validation	code/03_exact_splicing/03_validate_exact_and_adjacent_junctions.py	scripts/160_targeted_splice_validation.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
03_exact_splicing	Raw IER and per-allele magnitude	code/03_exact_splicing/04_estimate_raw_intron_excision_ratio.py	scripts/249_p1_leafcutter_delta_ier.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R5
03_exact_splicing	Exact-coordinate external replication	code/03_exact_splicing/05_replicate_exact_event_across_neural_tissues.py	scripts/190_p1_gtex_exact_brain_sqtl_replication.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R6
03_exact_splicing	Exon5-6/exon6-7 co-usage	code/03_exact_splicing/06_analyze_adjacent_junction_cousage.py	scripts/169_p1_public_brain_junction_cousage.py	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R7
03_exact_splicing	Exact-event AD colocalization	code/03_exact_splicing/07_colocalize_exact_event_with_ad.R	scripts/197_p1_exact_ba24_coloc.R	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R8
03_exact_splicing	Exact-event lipid colocalization	code/03_exact_splicing/08_colocalize_exact_event_with_lipids.R	scripts/199_p1_exact_ba24_lipid_sqtl_coloc.R	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R8
03_exact_splicing	Exact-event multiple-signal colocalization	code/03_exact_splicing/09_run_exact_event_coloc_susie.R	scripts/200_p1_exact_ba24_ad_sqtl_susie.R	D01;D02;D05;D06;D07;D15	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R8
04_causal_triangulation	LD and allele orientation	code/04_causal_triangulation/01_harmonize_ld_and_allele_orientation.py	scripts/203_p1_fetch_ld_allele_orientation.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	LD-aware cis-MR	code/04_causal_triangulation/02_run_ld_aware_cis_mr.py	scripts/202_p1_ld_aware_cis_mr.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R9
04_causal_triangulation	Participant-overlap sensitivity	code/04_causal_triangulation/03_evaluate_sample_overlap_bias.py	scripts/250_p1_cis_mr_sample_overlap.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R9
04_causal_triangulation	Complete bidirectional MR module	code/04_causal_triangulation/04_run_bidirectional_genomewide_mr.py	scripts/255_p1_complete_mr_module.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R10
04_causal_triangulation	MVMR conditional strength	code/04_causal_triangulation/05_diagnose_mvmr_strength.R	scripts/256_p1_mvmr_strength_diagnostics.R	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
