data_id	dataset	resource	accession_or_release	url_or_doi	use	coordinate_system	redistribution_and_access	packaged_raw_data	local_raw_data_policy
D01	Bellenguez AD GWAS	NIAGADS/FunGen-AD	Bellenguez_AD	https://adsp-fgc.niagads.org/xqtl-resources/xqtl-data/gwas/Bellenguez_AD/	GWAS summary statistics	GRCh37/GRCh38 as distributed	Public download; redistribution subject to source terms	no	deleted after checksum/provenance audit
D02	Global Lipids Genetics Consortium 2021	GLGC	2021 release	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/	HDL-C, LDL-C, TG, TC and non-HDL-C GWAS	GRCh37	Public download; cite source	no	deleted after checksum/provenance audit
D03	1000 Genomes European reference	1000 Genomes Project	Phase 3	https://www.internationalgenome.org/	European LD reference	GRCh37	Public download	no	deleted after checksum/provenance audit
D04	UK Biobank LD matrices	Zenodo	10.5281/zenodo.14614207	https://doi.org/10.5281/zenodo.14614207	LD sensitivity reference	GRCh37	Public download	no	deleted after checksum/provenance audit
D05	MiGA/isoMiGA microglial QTL	Zenodo	10.5281/zenodo.8250771	https://doi.org/10.5281/zenodo.8250771	Microglial expression and splicing QTL	GRCh38	Public derived summary statistics	no	deleted after checksum/provenance audit
D06	GTEx v8	GTEx Portal	v8	https://gtexportal.org/home/	Neural-tissue sQTL, junction counts and molecular QTL	GRCh38	Summary resources public; individual-level data controlled	no	deleted after checksum/provenance audit
D07	recount3	recount3	current public release	https://rna.recount.bio/	Public junction-count summaries	GRCh38	Public download	no	deleted after checksum/provenance audit
D08	NIAGADS xQTL	NIAGADS	current public xQTL release	https://xqtl.niagads.org/	AD brain molecular QTL	Resource-specific access terms	Follow NIAGADS access terms	no	deleted after checksum/provenance audit
D09	SEA-AD	AD Knowledge Portal	public processed release	https://sea-ad.org/	Single-nucleus disease-state transcriptomics	GRCh38	Public/registered access depending on file	no	deleted after checksum/provenance audit
D10	ROSMAP/AMP-AD	AD Knowledge Portal	public processed releases	https://adknowledgeportal.synapse.org/	Brain transcriptomic and molecular-QTL context	GRCh38	Registered access may be required	no	deleted after checksum/provenance audit
D11	Mount Sinai Brain Bank	AD Knowledge Portal	public processed release	https://adknowledgeportal.synapse.org/	AD brain transcriptomics	GRCh38	Registered access may be required	no	deleted after checksum/provenance audit
D12	GSE243292	NCBI GEO	GSE243292	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243292	Microglial single-cell/pseudobulk sensitivity	As distributed	Public download	no	deleted after checksum/provenance audit
D13	GSE138852	NCBI GEO	GSE138852	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138852	AD single-cell/pseudobulk sensitivity	As distributed	Public download	no	deleted after checksum/provenance audit
D14	ENCODE SCREEN cCRE	ENCODE	SCREEN current release used in analysis	https://screen.encodeproject.org/	Candidate cis-regulatory elements	GRCh38	Public download	no	deleted after checksum/provenance audit
D15	GENCODE human annotation	GENCODE	v38	https://www.gencodegenes.org/human/release_38.html	Transcript and exon models	GRCh38	Public download	no	deleted after checksum/provenance audit
D16	UniProt TSPAN14	UniProt	Q8NG11	https://www.uniprot.org/uniprotkb/Q8NG11	Protein topology and EC2 annotation	Protein sequence	Public	no	deleted after checksum/provenance audit
D17	AlphaFold TSPAN14	AlphaFold DB	AF-Q8NG11-F1	https://alphafold.ebi.ac.uk/entry/Q8NG11	Reference structure and pLDDT	Protein sequence	Public	no	deleted after checksum/provenance audit
D18	INTERVAL trans-sQTL	INTERVAL	public summary release	https://www.intervalrna.org.uk/downloads/	Independent trans-sQTL instrument search	As distributed	Public summary data	no	deleted after checksum/provenance audit
D19	BrainMeta molecular QTL	Westlake SMR resources	public release used in analysis	https://yanglab.westlake.edu.cn/data/brainmeta/	Independent brain molecular-QTL search	As distributed	Public summary data	no	deleted after checksum/provenance audit
D20	Open Targets and plasma proteomics	Open Targets/UK Biobank proteomics	current public releases used	https://platform.opentargets.org/	Protein and pQTL context	As distributed	Public summary resources	no	deleted after checksum/provenance audit
