tissue	n_samples	n_donors	n_both_nonzero	spearman_rho	spearman_p	metric_definition	interpretation_boundary	tissue_label
"Brain - Amygdala"	152	152	152	0.895021700339292	1.8372127567194e-54	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Amygdala"
"Brain - Anterior cingulate cortex (BA24)"	176	176	176	0.884077930888708	2.23829798817925e-59	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Anterior cingulate cortex (BA24)"
"Brain - Caudate (basal ganglia)"	246	246	246	0.861546336890168	8.62310012675836e-74	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Caudate (basal ganglia)"
"Brain - Cerebellar Hemisphere"	215	215	215	0.769821211067696	2.06019387304295e-43	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Cerebellar Hemisphere"
"Brain - Cerebellum"	241	241	241	0.743341532256931	1.26721688396283e-43	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Cerebellum"
"Brain - Cortex"	255	255	255	0.878302800065901	4.7331082397758e-83	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Cortex"
"Brain - Frontal Cortex (BA9)"	209	209	209	0.903631594524404	3.6395074594167e-78	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Frontal Cortex (BA9)"
"Brain - Hippocampus"	197	197	197	0.912453918059768	1.3149612226849e-77	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Hippocampus"
"Brain - Hypothalamus"	202	202	202	0.87311005170407	2.55974620005853e-64	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Hypothalamus"
"Brain - Nucleus accumbens (basal ganglia)"	246	246	245	0.842232339823457	2.05049651413251e-67	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Nucleus accumbens (basal ganglia)"
"Brain - Putamen (basal ganglia)"	205	205	205	0.871916068451932	7.1497466082886e-65	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Putamen (basal ganglia)"
"Brain - Spinal cord (cervical c-1)"	159	159	159	0.923822350715955	2.33161191832387e-67	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Spinal cord (cervical c-1)"
"Brain - Substantia nigra"	139	139	139	0.875455123870133	4.23872620745318e-45	"Spearman correlation of log1p exon-exon junction read counts; not transcript-level PSI."	"Open normal-brain RNA-seq co-usage only; no genotype, AD-state, or causal inference."	"Substantia nigra"
