outcome	analysis	parameter	n_instruments	estimate	se	p_value
AD	ridge	0.0	5	0.06505762406188988	0.010812403550240152	1.7774079842434008e-09
AD	ridge	1e-08	5	0.06505762401892652	0.010812403643425391	1.7774085970045953e-09
AD	ridge	1e-06	5	0.06505761976557564	0.010812412868711008	1.7774692609830062e-09
AD	ridge	0.0001	5	0.06505719463079303	0.010813334869843573	1.783541897919731e-09
AD	ridge	0.01	5	0.06501660567420332	0.010900615101736764	2.453998611587446e-09
AD	ridge	0.1	5	0.06476887453806268	0.011433743005708088	1.4727067849233828e-08
AD	relative_eigenvalue_floor	1e-08	5	0.06505762406188988	0.010812403550240152	1.7774079842434008e-09
AD	relative_eigenvalue_floor	1e-06	5	0.06505762406188988	0.010812403550240152	1.7774079842434008e-09
AD	relative_eigenvalue_floor	0.0001	5	0.06505762406188988	0.010812403550240152	1.7774079842434008e-09
AD	relative_eigenvalue_floor	0.01	5	0.06505762406188988	0.010812403550240152	1.7774079842434008e-09
AD	relative_eigenvalue_floor	0.05	5	0.06499381758395716	0.01110451381636346	4.830200110623088e-09
AD	relative_eigenvalue_floor	0.1	5	0.06462295658040121	0.011480971857990893	1.815719404346505e-08
AD	LD_shrinkage_to_identity	0.01	5	0.06501124938640315	0.010832051313470117	1.9520371557065786e-09
AD	LD_shrinkage_to_identity	0.05	5	0.06486879234723121	0.010857622828169813	2.308067446018696e-09
AD	LD_shrinkage_to_identity	0.1	5	0.0647530249395516	0.010810230058204492	2.0987124950624775e-09
AD	LD_shrinkage_to_identity	0.2	5	0.06462396007442761	0.010572879130445103	9.824313991535501e-10
AD	LD_shrinkage_to_identity	0.5	5	0.06449924941261899	0.009370175335685441	5.841503013660111e-12
AD	pairwise_r2_clump	0.2	1	0.06533593560222142	0.010998206399272216	2.83982234085023e-09
AD	pairwise_r2_clump	0.4	2	0.06512375383903327	0.010940367168418588	2.638974586149313e-09
AD	pairwise_r2_clump	0.6	5	0.06505762406188983	0.01081240355024016	1.7774079842435108e-09
AD	pairwise_r2_clump	0.8	5	0.06505762406188983	0.01081240355024016	1.7774079842435108e-09
AD	leave_one_variant_out	rs10749569	4	0.06575163117135002	0.010938395917132698	1.8428537465047546e-09
AD	leave_one_variant_out	rs7098414	4	0.06565860933965793	0.010901117234973315	1.7109890588650135e-09
AD	leave_one_variant_out	rs10749608	4	0.06484039312229836	0.01084822303506751	2.27211698264715e-09
AD	leave_one_variant_out	rs7097656	4	0.06313373342505647	0.012488222415748845	4.29350195503054e-07
AD	leave_one_variant_out	rs7084416	4	0.0646705537427191	0.0108107260453919	2.203153156903653e-09
AD	lead_variant_Wald	rs7097656	1	0.06533593560222142	0.010998206399272218	2.839822340850252e-09
TC	ridge	0.0	5	0.008811425045735675	0.0016521991264919378	9.65237462508537e-08
TC	ridge	1e-08	5	0.008811425019538795	0.0016521991396179774	9.652377721405724e-08
TC	ridge	1e-06	5	0.008811422426068664	0.001652200439088713	9.65268425972723e-08
TC	ridge	0.0001	5	0.00881116329080884	0.00165233031480572	9.683364164965966e-08
TC	ridge	0.01	5	0.008787226618886207	0.001664652449980784	1.3009263652244812e-07
TC	ridge	0.1	5	0.008673885213750038	0.0017414604899101864	6.331842232451352e-07
TC	relative_eigenvalue_floor	1e-08	5	0.008811425045735675	0.0016521991264919378	9.65237462508537e-08
TC	relative_eigenvalue_floor	1e-06	5	0.008811425045735675	0.0016521991264919378	9.65237462508537e-08
TC	relative_eigenvalue_floor	0.0001	5	0.008811425045735675	0.0016521991264919378	9.65237462508537e-08
TC	relative_eigenvalue_floor	0.01	5	0.008811425045735675	0.0016521991264919378	9.65237462508537e-08
TC	relative_eigenvalue_floor	0.05	5	0.008687854964005272	0.0016896671683835176	2.7218360478738255e-07
TC	relative_eigenvalue_floor	0.1	5	0.00852578951260439	0.001741652415525491	9.819071697099152e-07
TC	LD_shrinkage_to_identity	0.01	5	0.00879186109057278	0.0016545468369571076	1.0738735479524788e-07
TC	LD_shrinkage_to_identity	0.05	5	0.008728160007399503	0.0016562038890745026	1.36439236643455e-07
TC	LD_shrinkage_to_identity	0.1	5	0.008670517331297173	0.0016467803788677447	1.4008808183609291e-07
TC	LD_shrinkage_to_identity	0.2	5	0.00859420093739619	0.0016074900361335593	8.974664305479807e-08
TC	LD_shrinkage_to_identity	0.5	5	0.008479931090102354	0.0014197815567242636	2.33356991074173e-09
TC	pairwise_r2_clump	0.2	1	0.008948426492884246	0.001683580445066818	1.0658900935388909e-07
TC	pairwise_r2_clump	0.4	2	0.008783893765763407	0.0016683296559722905	1.4012619313797786e-07
TC	pairwise_r2_clump	0.6	5	0.008811425045735675	0.0016521991264919374	9.652374625085267e-08
TC	pairwise_r2_clump	0.8	5	0.008811425045735675	0.0016521991264919374	9.652374625085267e-08
TC	leave_one_variant_out	rs10749569	4	0.008900959251796332	0.0016678767012905918	9.465293644023892e-08
TC	leave_one_variant_out	rs7098414	4	0.008675846456655374	0.001651132720835829	1.4844200613390214e-07
TC	leave_one_variant_out	rs10749608	4	0.008964858841771913	0.0016677254842084653	7.637032452509829e-08
TC	leave_one_variant_out	rs7097656	4	0.008274981132016194	0.0018968179595470354	1.2854963299177917e-05
TC	leave_one_variant_out	rs7084416	4	0.008792052570998446	0.0016554789484955256	1.0909623484671918e-07
TC	lead_variant_Wald	rs7097656	1	0.008948426492884248	0.001683580445066818	1.0658900935388836e-07
LDL	ridge	0.0	5	0.008331030542201882	0.0016666715704065531	5.774697269477467e-07
LDL	ridge	1e-08	5	0.008331030531129798	0.001666671584542688	5.774698737857206e-07
LDL	ridge	1e-06	5	0.008331029435003367	0.001666672984012148	5.774844108222776e-07
LDL	ridge	0.0001	5	0.008330919920784436	0.0016668128532192064	5.789388968880426e-07
LDL	ridge	0.01	5	0.008320891801302101	0.001680074387344155	7.319359349413215e-07
LDL	ridge	0.1	5	0.008279609711805724	0.0017621311213430852	2.619069518016607e-06
LDL	relative_eigenvalue_floor	1e-08	5	0.008331030542201882	0.0016666715704065531	5.774697269477467e-07
LDL	relative_eigenvalue_floor	1e-06	5	0.008331030542201882	0.0016666715704065531	5.774697269477467e-07
LDL	relative_eigenvalue_floor	0.0001	5	0.008331030542201882	0.0016666715704065531	5.774697269477467e-07
LDL	relative_eigenvalue_floor	0.01	5	0.008331030542201882	0.0016666715704065531	5.774697269477467e-07
LDL	relative_eigenvalue_floor	0.05	5	0.008281575204854282	0.001709019329429203	1.2609903072453913e-06
LDL	relative_eigenvalue_floor	0.1	5	0.008176148030044452	0.0017656549296879473	3.6450161797135454e-06
LDL	LD_shrinkage_to_identity	0.01	5	0.0083219970504772	0.0016696789351708598	6.22219155703563e-07
LDL	LD_shrinkage_to_identity	0.05	5	0.008291990932521425	0.0016734158906931218	7.228246765792278e-07
LDL	LD_shrinkage_to_identity	0.1	5	0.00826364582260449	0.0016657039753301631	7.011203092253589e-07
LDL	LD_shrinkage_to_identity	0.2	5	0.008223083585701042	0.001628156914438221	4.4054589398534447e-07
LDL	LD_shrinkage_to_identity	0.5	5	0.00815022437610133	0.0014403748839479861	1.5278629175391226e-08
LDL	pairwise_r2_clump	0.2	1	0.008655922535034302	0.0017086568267000916	4.06427915370995e-07
LDL	pairwise_r2_clump	0.4	2	0.008420836121596468	0.0016896394993856693	6.234546710615908e-07
LDL	pairwise_r2_clump	0.6	5	0.00833103054220188	0.0016666715704065534	5.774697269477524e-07
LDL	pairwise_r2_clump	0.8	5	0.00833103054220188	0.0016666715704065534	5.774697269477524e-07
LDL	leave_one_variant_out	rs10749569	4	0.00856987595180621	0.00169079991683192	4.008925174383228e-07
LDL	leave_one_variant_out	rs7098414	4	0.008296396930446297	0.0016718781230733795	6.965553408387203e-07
LDL	leave_one_variant_out	rs10749608	4	0.008485121467837552	0.0016814299934599128	4.502779883398562e-07
LDL	leave_one_variant_out	rs7097656	4	0.00789300091943032	0.0019215035049983467	3.9958181488925524e-05
LDL	leave_one_variant_out	rs7084416	4	0.008317501055153824	0.001670439118654422	6.383764722805032e-07
LDL	lead_variant_Wald	rs7097656	1	0.008655922535034302	0.0017086568267000916	4.06427915370995e-07
nonHDL	ridge	0.0	5	0.009719542358321273	0.0019637530312858064	7.441474807595217e-07
nonHDL	ridge	1e-08	5	0.009719542310567241	0.0019637530452967433	7.441477087390877e-07
nonHDL	ridge	1e-06	5	0.009719537582954588	0.001963754432371782	7.44170278887525e-07
nonHDL	ridge	0.0001	5	0.009719065184803016	0.0019638930646882487	7.464290302536241e-07
nonHDL	ridge	0.01	5	0.009675219384254684	0.0019770558424718333	9.89319002654053e-07
nonHDL	ridge	0.1	5	0.009457338129538605	0.0020598797261753253	4.406859752185073e-06
nonHDL	relative_eigenvalue_floor	1e-08	5	0.009719542358321273	0.0019637530312858064	7.441474807595217e-07
nonHDL	relative_eigenvalue_floor	1e-06	5	0.009719542358321273	0.0019637530312858064	7.441474807595217e-07
nonHDL	relative_eigenvalue_floor	0.0001	5	0.009719542358321273	0.0019637530312858064	7.441474807595217e-07
nonHDL	relative_eigenvalue_floor	0.01	5	0.009719542358321273	0.0019637530312858064	7.441474807595217e-07
nonHDL	relative_eigenvalue_floor	0.05	5	0.00951609100295081	0.002002021850717277	2.001821570369655e-06
nonHDL	relative_eigenvalue_floor	0.1	5	0.00922178877732017	0.002055005711858517	7.207193371026016e-06
nonHDL	LD_shrinkage_to_identity	0.01	5	0.009681676304950653	0.0019653041374730817	8.380162296904185e-07
nonHDL	LD_shrinkage_to_identity	0.05	5	0.009557653144329254	0.0019632172772880772	1.1252684181755512e-06
nonHDL	LD_shrinkage_to_identity	0.1	5	0.009444007035832933	0.001948367187529975	1.2525452378935422e-06
nonHDL	LD_shrinkage_to_identity	0.2	5	0.009290200676110166	0.0018970577547833957	9.723027960023187e-07
nonHDL	LD_shrinkage_to_identity	0.5	5	0.009048658698553598	0.0016690114722501454	5.907861245615631e-08
nonHDL	pairwise_r2_clump	0.2	1	0.010010973086620373	0.00200429728733377	5.891062911931289e-07
nonHDL	pairwise_r2_clump	0.4	2	0.009662561237773355	0.0019784505722269374	1.0400610708468968e-06
nonHDL	pairwise_r2_clump	0.6	5	0.009719542358321266	0.001963753031285807	7.441474807595384e-07
nonHDL	pairwise_r2_clump	0.8	5	0.009719542358321266	0.001963753031285807	7.441474807595384e-07
nonHDL	leave_one_variant_out	rs10749569	4	0.009964775449618019	0.0019889959070632205	5.444340987202662e-07
nonHDL	leave_one_variant_out	rs7098414	4	0.009528153832978342	0.0019605728739839675	1.174554330693459e-06
nonHDL	leave_one_variant_out	rs10749608	4	0.00986577053502037	0.0019781353710920722	6.119436630315246e-07
nonHDL	leave_one_variant_out	rs7097656	4	0.00862693850027268	0.0022145236977888193	9.794863864787728e-05
nonHDL	leave_one_variant_out	rs7084416	4	0.009737910558023524	0.0019689936129487985	7.589865688903129e-07
nonHDL	lead_variant_Wald	rs7097656	1	0.010010973086620373	0.00200429728733377	5.891062911931289e-07
