Evidence	Tissue or outcome	Effect estimate	Statistical support	Interpretation
Coordinate-matched canonical branch	Anterior cingulate cortex (BA24)	Risk-aligned NES = 1.159–1.219	248 records; minimum P = 3.94 × 10⁻²¹; 227 at P ≤ 5 × 10⁻⁸	Coordinate-matched canonical-branch association; tissue records are not independent variants or cohorts.
Coordinate-matched canonical branch	Hippocampus	Risk-aligned NES = 0.636–0.782	30 records; minimum P = 2.61 × 10⁻¹¹; 18 at P ≤ 5 × 10⁻⁸	Cross-tissue consistency in GTEx; donor overlap is reported separately.
Coordinate-matched canonical branch	Putamen	Risk-aligned NES = 0.538–0.705	32 records; minimum P = 3.54 × 10⁻¹²; 25 at P ≤ 5 × 10⁻⁸	Cross-tissue consistency in GTEx; donor overlap is reported separately.
Coordinate-matched canonical branch	Cervical spinal cord	Risk-aligned NES = 0.828–0.900	34 records; minimum P = 2.24 × 10⁻¹²; 24 at P ≤ 5 × 10⁻⁸	Cross-tissue consistency in GTEx; donor overlap is reported separately.
Canonical–cryptic read balance	BA24 raw junction counts (n = 147; rs7080009 C-risk allele)	Canonical fraction: 95.57% in T/T and 100% in C/C donors; descriptive difference = 4.43 percentage points	Beta-binomial OR = 0.1499 (95% CI, 0.0918–0.2375; P = 4.45 × 10⁻¹⁴); depth-adjusted Firth OR = 0.0131 (0.00141–0.0539; P = 1.04 × 10⁻¹⁷)	Count and donor-detection models support genotype-dependent acceptor balance; the fraction is not ΔPSI or a full-length isoform proportion.
Canonical-branch colocalization	AD	Default-prior PP.H4 = 0.9909	coloc.susie PP.H4 = 0.9811; p12/10 PP.H4 = 0.9155	The canonical-branch association pattern is compatible with the local AD configuration and remains prior robust.
Canonical-branch colocalization	TC; LDL-C; non-HDL-C	Default-prior PP.H4 = 0.9771; 0.9589; 0.9598	p12/10 PP.H4 = 0.8098; 0.6999; 0.7050	TC remains prior robust; LDL-C and non-HDL-C are prior sensitive.
LD-aware cis-MR	AD	β = 0.0651 (SE = 0.0108)	P = 1.78 × 10⁻⁹; sentinel Wald β = 0.0653 (SE = 0.0110)	Positive direction across LD sensitivity analyses; locus-level evidence, not causal proof.
LD-aware cis-MR	TC	β = 0.00881 (SE = 0.00165)	P = 9.65 × 10⁻⁸	Positive direction across LD sensitivity analyses; locus-level evidence.
LD-aware cis-MR	LDL-C	β = 0.00833 (SE = 0.00167)	P = 5.77 × 10⁻⁷	Positive direction across LD sensitivity analyses; locus-level evidence.
LD-aware cis-MR	Non-HDL-C	β = 0.00972 (SE = 0.00196)	P = 7.44 × 10⁻⁷; prior Q P = 0.0041; Egger-intercept P = 0.0027	Positive estimate with heterogeneity and directional-pleiotropy sensitivity flags; downgraded evidence.
Overlap sensitivity	Complete-overlap upper-bound scenario for 147 sQTL donors	Rebuilt signed-LD baseline retained; no overlap-adjusted point estimate inferred	Minimum instrument F = 32.49; relative weak-instrument bias bound = 3.08%	Conservative bound only because cohort-resolved sampling covariance was unavailable.
