source	target	edge_class	interpretation
ad	ld_block	present_study	AD association maps to the local configuration
cholesterol	ld_block	present_study	Cholesterol associations map to the same local configuration
ld_block	exact_splice	present_study	Exact exon5-6 processing is the leading candidate molecular readout
exact_splice	cross_tissue_context	context_support	Identical-coordinate cross-tissue consistency in partially overlapping GTEx tissues
ld_block	microglia	present_study	Cell-resolved exact-event sQTL in isolated microglia
ld_block	neural_eqtl	context_support	Single-nucleus total-expression eQTL
ld_block	ad_state_rna	context_support	Disease-state abundance assessed separately
exact_splice	ec2_boundary	reference_annotation	Reference localization of AA150/151 within EC2
ld_block	published_editing	published_perturbation	Published rs7922621 editing anchor
published_editing	adam10	published_perturbation	Published cell-surface ADAM10 result
published_editing	trem2	published_perturbation	Published soluble TREM2 result
ec2_boundary	isoform_prediction	prediction	Protein-isoform consequence to be tested
ec2_boundary	substrate_prediction	prediction	Trafficking and substrate processing to be tested
ec2_boundary	lipid_state_prediction	prediction	Lipid-state cellular phenotype to be tested
