analysis_block	evidence_layer	resource	target_or_feature	observation	evidence_status	claim_boundary	source_url	canonical_uniprot_accession	canonical_sequence_length	project_event	adjacent_event	protein_consequence_status	permitted_interpretation	prohibited_interpretation	protein_mechanism_status	strongest_new_evidence	direct_detection_result	actionable_validation_route	prohibited_conclusion	resource_type	target_question	status	interpretation	figure_element	evidence_class	supported_claim
protein-context audit	curated_direct_interaction_context	UniProt Q8NG11	project_exon5_exon6	AA150-151 is within extracellular AA114-232, annotated as necessary and sufficient for ADAM10 interaction; curated interaction experiments=9.	contextual_known_biology	Does not show that the splice QTL changes the region, protein conformation, ADAM10 binding, trafficking, or proteolysis.	https://rest.uniprot.org/uniprotkb/Q8NG11.json																			
protein-context audit	curated_direct_interaction_context	UniProt Q8NG11	adjacent_exon6_exon7	AA192-193 is within extracellular AA114-232, annotated as necessary and sufficient for ADAM10 interaction; curated interaction experiments=9.	contextual_known_biology	Does not show that the splice QTL changes the region, protein conformation, ADAM10 binding, trafficking, or proteolysis.	https://rest.uniprot.org/uniprotkb/Q8NG11.json																			
protein-context audit	direct_protein_detection_context	Human Protein Atlas DVP brain	Neurons	TSPAN14 was reported ND in 5 DVP replicates.	negative_healthy_cell_resolved_detection_context	This is not AD-state, isoform-specific, or junction-resolved protein evidence.	https://www.proteinatlas.org/ENSG00000108219-TSPAN14/single%2Bcell/brain																			
protein-context audit	direct_protein_detection_context	Human Protein Atlas DVP brain	Astrocytes and Neuropil	TSPAN14 was reported ND in 5 DVP replicates.	negative_healthy_cell_resolved_detection_context	This is not AD-state, isoform-specific, or junction-resolved protein evidence.	https://www.proteinatlas.org/ENSG00000108219-TSPAN14/single%2Bcell/brain																			
protein-context audit	direct_protein_detection_context	Human Protein Atlas DVP brain	Microglia and Neuropil	TSPAN14 was reported ND in 5 DVP replicates.	negative_healthy_cell_resolved_detection_context	This is not AD-state, isoform-specific, or junction-resolved protein evidence.	https://www.proteinatlas.org/ENSG00000108219-TSPAN14/single%2Bcell/brain																			
protein-context audit	antibody_based_brain_context	Human Protein Atlas primary tissue data	Cerebral cortex neuronal cells	HPA014773=medium; HPA057174=not_detected	discordant_antibody_staining	Discordant antibodies cannot resolve TSPAN14 abundance, cell specificity, AD-state regulation, or isoform usage.	https://www.proteinatlas.org/ENSG00000108219-TSPAN14/tissue/primary%2Bdata																			
protein-context audit	targeted_proteomics_assay_feasibility	NCI CPTAC Assay Portal CPTAC-1188	TSPAN14 canonical protein	A direct MRM/SRM assay exists for peptide TLISDIEAVK at AA256-265.	validated_targeted_assay_outside_brain_and_not_isoform_discriminating	The assay was characterized in ovarian tumor lysate and targets AA256-265, outside the splice-associated EC2 interval; it cannot quantify the proposed isoform effect as-is.	https://assays.cancer.gov/CPTAC-1188																			
protein interpretation								Q8NG11	270.0	coding exon5-exon6 boundary AA150/151	coding exon6-exon7 boundary AA192/193	structural_and_sequence_plausibility_only	The junctions map within the TSPAN14 extracellular ADAM10-interaction region and can be evaluated by targeted proteomics once an alternative coding isoform is observed.	Do not infer altered TSPAN14 protein abundance, ADAM10 binding, trafficking, or substrate cleavage from this audit.												
mechanism feasibility															structurally_contextualized_but_not_observed_as_disease_protein_effect	Both splice boundaries lie within the UniProt-curated extracellular TSPAN14 region necessary and sufficient for ADAM10 interaction.	HPA healthy-brain DVP reported ND across the displayed neuronal, astrocyte/neuropil and microglia/neuropil replicates.	Use targeted LC-MS/MS with the existing assay as a total-protein control and EC2-region peptides (AA150-177; AA180-194) only after an alternative coding isoform is directly demonstrated.	Do not claim splice-driven TSPAN14 protein change or altered ADAM10 function from structural annotation, assay availability, or healthy-brain ND observations.							
proteomic resources		UniProt Q8NG11 canonical sequence																		protein sequence	Does the canonical AA150-193 region admit theoretically observable tryptic peptides?	audited_in_this_run	Sequence-level feasibility only; not evidence of protein isoform abundance.			
