analysis_block	source_label	cell_label	estimate	se	lo	hi	P.Value	fdr	interval_available	n_comparator	n_high_ad	evidence_domain	primary_result	quantitative_support	evidence_grade	evidence_status	domain_label	anchor_label	status_short
disease-state estimates	SEA-AD adjusted pseudobulk	Microglia	-0.0632601537941217	0.152063976341798	-0.361305547424046	0.234785239835803	0.681608903555416	0.991795919274617	True	12.0	23.0								
disease-state estimates	SEA-AD adjusted pseudobulk	Neurons	0.102985843923396	0.095853959425964	-0.0848879165514934	0.290859604398285	0.295517005232858	0.648254565276197	True	12.0	23.0								
disease-state estimates	17-study single-cell meta-analysis	Oligodendrocytes	0.602750908555234				0.0019108677060719	0.127892173913044	False										
disease-state estimates	17-study single-cell meta-analysis	Microglia	0.231986159042052				0.0119281757779094	0.312313425129087	False										
isoform and DTU evidence												allele_harmonized_splice_direction	all_laub_core_ad_effect_alleles_decrease_target_junction_usage	laub_core_snps=3; laub_core_qtl_ad_mismatch_total=0	A-	Supported / contextual	Allele-aligned splice direction	3/3 core alleles aligned	Supported / contextual
isoform and DTU evidence												canonical_isoform_mapping	target_junction_maps_to_canonical_TSPAN14-207_ENST00000429989	consequence_score=14; tier=high_canonical_coding_consequence; exact_junction_transcripts=71; moderate_coding_isoforms=63	A	Supported / contextual	Canonical transcript mapping	71 exact-junction transcripts	Supported / contextual
isoform and DTU evidence												splice_to_protein_mapping	junction_connects_coding_exon5_to_exon6_at_AA150_AA151	coding_exon5_AA94-150; coding_exon6_AA151-192	A	Supported / contextual	Coding boundary mapping	AA150/151 coding boundary	Supported / contextual
isoform and DTU evidence												ADAM10_region_overlap	AA150_AA151_boundary_lies_within_UniProt_ADAM10_interaction_region_AA114-232	UniProt Q8NG11 region AA114-232; junction boundary AA150/AA151	A-	Supported / contextual	ADAM10-region overlap	Annotated region AA114-232	Supported / contextual
isoform and DTU evidence												AlphaFold_local_structure	junction_boundary_is_locally_high_confidence	AA150/151_pLDDT=93.285; AA147-154_pLDDT=94.743; AA147-154_PAE=0.875	A-	Supported / contextual	AlphaFold local confidence	Boundary pLDDT 93.3	Supported / contextual
isoform and DTU evidence												sequence_conservation_proxy	junction_window_has_supportive_pairwise_conservation_proxy	AA150/151_proxy=0.715; AA147-154_proxy=0.811	B+	Supported / contextual	Sequence conservation proxy	Pairwise proxy 0.715	Supported / contextual
isoform and DTU evidence												external_canonical_transcript_QTL	isoMiGA_top_association_supports_ENST00000429989_regulation	feature=ENST00000429989.7; Fixed_FDR=9.467686294586284e-5; qval=6.284222755682987e-4	A-	Supported / contextual	Canonical transcript QTL	Fixed FDR 9.47e-5	Supported / contextual
isoform and DTU evidence												external_target_containing_splice_event	isoMiGA_SUPPA_SE_event_contains_target_junction	feature=ENSG00000108219.15:SE:chr10:80507374-80509301:80509471-80512144:+; Fixed_FDR=0.4434072616734678; qval=0.024474680369250223	B+	Supported / contextual	Target-containing event	q=0.0245	Supported / contextual
isoform and DTU evidence												expression_mechanism_counterevidence	total_expression_QTL_support_is_weak_or_negative	feature=ENSG00000108219.15; Fixed_FDR=0.4344089815817473; qval=0.39040159965867327	C-/negative_for_expression	Negative expression context	Total-expression QTL	q=0.390	Expression-negative
isoform and DTU evidence												direct_functional_validation_gap	not_available	No protein isoform, ADAM10 trafficking, APP cleavage or TREM2 shedding perturbation assay in current pure-bioinformatics outputs.	not_available	Future functional layer	Protein-functional validation	Isoform-resolved assay pending	Future layer
