claim_id	manuscript_location	reported_result	public_scripts	figure_or_table	manuscript_term_found	reproducibility_status
R1	Results: APOE-aware screen	Genome-wide AD-HDL-C genetic correlation and extended-APOE sensitivity	code/01_genetic_architecture/01_run_baseline_ldsc.py; code/01_genetic_architecture/04_run_extended_apoe_ld_conditioning.py; code/01_genetic_architecture/05_run_apoe_window_sensitivity.py	Figure 1A; Table 1; Supplementary Figure S1; Tables S1-S2	yes	PASS
R2	Results: non-APOE regional screen	TSPAN14 regional sharing with TC, LDL-C and non-HDL-C, including shared-prior sensitivity	code/02_colocalization_and_finemapping/01_run_regional_coloc_susie.R; code/02_colocalization_and_finemapping/02_run_hyprcoloc.R; code/02_colocalization_and_finemapping/04_run_tspan14_multitrait_hyprcoloc.R; code/02_colocalization_and_finemapping/09_rescale_coloc_prior_sensitivity.py	Figure 1B-C; Table 1; Tables S3-S4	yes	PASS
R3	Results: fine-mapping	Credible-set prioritization and signed functional-haplotype phase audit	code/02_colocalization_and_finemapping/03_run_susie_finemapping.R; code/02_colocalization_and_finemapping/06_annotate_tspan14_ld_block.py; code/02_colocalization_and_finemapping/07_build_signed_functional_haplotype_audit.sh; code/02_colocalization_and_finemapping/08_summarize_signed_functional_haplotype.py	Figure 1D; Figures S2-S3; Table S5; Table S18	yes	PASS
R4	Results: exact splice event	Risk-aligned microglial exon5-6 sQTL	code/03_exact_splicing/01_harmonize_microglial_sqtl_alleles.py; code/03_exact_splicing/02_define_exact_exon5_6_event.py	Figure 2; Table 2	yes	PASS
R5	Results: biological magnitude	Beta-binomial canonical-cryptic read-count model and Firth donor-detection sensitivity	code/03_exact_splicing/10_audit_count_level_acceptor_choice.py	Figure 3B; Table 2; Figure S4; Tables S6-S7	yes	PASS
R6	Results: neural cross-tissue consistency	Coordinate-identical exon5-6 sQTL consistency across partially overlapping GTEx neural tissues	code/03_exact_splicing/05_replicate_exact_event_across_neural_tissues.py	Figure 3A; Figure S5; Table S8	yes	PASS
R7	Results: adjacent-junction co-usage	Exon5-6 and exon6-7 aggregate-count correlation	code/03_exact_splicing/06_analyze_adjacent_junction_cousage.py	Figure 3C-D; Figure S6; Table S9	yes	PASS
R8	Results: exact-event colocalization	Exact exon5-6 colocalization with AD and cholesterol traits, including shared-prior sensitivity	code/03_exact_splicing/07_colocalize_exact_event_with_ad.R; code/03_exact_splicing/08_colocalize_exact_event_with_lipids.R; code/03_exact_splicing/09_run_exact_event_coloc_susie.R; code/03_exact_splicing/12_audit_exact_event_coloc_prior_sensitivity.py	Figure 2A,C; Table 2; Table S4	yes	PASS
R9	Results: cis-MR	Signed-LD local molecular triangulation, numerical robustness and conservative overlap-bias bound	code/04_causal_triangulation/01_harmonize_ld_and_allele_orientation.py; code/04_causal_triangulation/02_run_ld_aware_cis_mr.py; code/04_causal_triangulation/15_rebuild_five_instrument_1000g_eur_ld.sh; code/04_causal_triangulation/16_audit_cis_mr_numerical_robustness.py; code/04_causal_triangulation/17_rebuild_overlap_bias_bound.py	Figure 4A-C; Table 2; Figure S7; Table S10	yes	PASS
R10	Results: causal scope	Genome-wide bidirectional MR, MVMR and local PC-GMM mediation identifiability	code/04_causal_triangulation/04_run_bidirectional_genomewide_mr.py; code/04_causal_triangulation/07_run_joint_lipid_mvmr.R; code/04_causal_triangulation/11_run_local_pc_gmm.R; code/04_causal_triangulation/12_test_pc_dimension_sensitivity.R; code/04_causal_triangulation/14_finalize_causal_scope_audit.py	Figure 4D-F; Figure S8; Table S11	yes	PASS
R11	Results: cell context	Separation of isolated-microglial sQTL, bulk cross-tissue consistency and single-nucleus eQTL evidence	code/05_cell_context/07_separate_bulk_and_cell_resolved_evidence.py; code/05_cell_context/08_synthesize_cell_context_evidence.py	Figure 5A-B; Table S12	yes	PASS
R12	Results: disease-state RNA	Adjusted disease-state pseudobulk and cross-study single-cell meta-analysis	code/05_cell_context/02_extract_single_cell_meta_analysis.py; code/05_cell_context/03_build_gse138852_pseudobulk.py; code/05_cell_context/04_analyze_gse138852_pseudobulk.R; code/05_cell_context/05_build_gse243292_microglia_pseudobulk.py; code/05_cell_context/06_analyze_gse243292_microglia_pseudobulk.R	Figure 5C; Figure S9; Tables S13-S15	yes	PASS
R13	Results: structure	TSPAN14-207 exon5-6 boundary mapping to EC2 and AlphaFold confidence	code/06_transcript_and_protein_context/02_map_splice_boundary_to_protein.py; code/06_transcript_and_protein_context/03_analyze_ec2_structural_context.py	Figure 5D-E; Table S16	yes	PASS
R14	Results: protein context	Isoform-resolved proteomic evidence audit, published perturbation bridge and signed phase context	code/06_transcript_and_protein_context/04_audit_protein_and_pqtl_evidence.py; code/02_colocalization_and_finemapping/08_summarize_signed_functional_haplotype.py	Figure 6; Tables S17-S18	yes	PASS
