analysis_block	trait_pair	region_grch38	allele_compatible_overlapping_snps	p1	p2	p12_default	pp_h4_p12_div_10	pp_h4_default	pp_h4_p12_times_10	default_pp_h3	method	ld_panel	analysis	estimate	effect_scale	odds_ratio	odds_ratio_95ci_low	odds_ratio_95ci_high	p_value	p_value_test	n_donors	converged	interpretation	metric	value	outcome	off_diagonal_noise_sd	n_draws	estimate_median	estimate_p025	estimate_p975	se_median	proportion_positive	analysis_role	trait_resource	primary_publication	doi	UK_Biobank_included	public_evidence	cross_trait_overlap_status	interpretive_consequence	claim_id	manuscript_location	reported_result	public_scripts	figure_or_table	manuscript_term_found	reproducibility_status
coloc prior sensitivity	AD-TC	chr10:80244228-80744228	3772.0	0.0001	0.0001	1e-05	0.8002779886225141	0.975651086233109	0.9975105548669256	0.0243481439367118	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD																																				
coloc prior sensitivity	AD-LDL-C	chr10:80244228-80744228	3769.0	0.0001	0.0001	1e-05	0.7162077272168146	0.961885946151768	0.9960532092391486	0.0381037235143793	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD																																				
coloc prior sensitivity	AD-non-HDL-C	chr10:80244228-80744228	3768.0	0.0001	0.0001	1e-05	0.6983859163069728	0.958600618864801	0.9956998403323596	0.0413836290748962	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD																																				
canonical-cryptic model audit													Firth logistic trend: any cryptic-acceptor read	-4.457823771844704	log odds per risk-aligned allele	0.0115875530273655	0.0012369612702135	0.0487638579164935	1.8495699502688698e-18	penalized likelihood-ratio test	147.0	True	Risk-aligned genotype is associated with lower detection of the competing cryptic acceptor.																									
canonical-cryptic model audit													Depth-adjusted Firth logistic trend: any cryptic-acceptor read	-4.338739562299969	log odds per rs7080009 risk-aligned allele, adjusted for standardized log cluster depth	0.0130529702950021	0.0014137670482757	0.0538997858356747	1.037037805558456e-17	penalized likelihood-ratio test	147.0	True	Risk-aligned genotype remains associated with lower cryptic-acceptor detection after adjustment for local cluster depth.																									
canonical-cryptic model audit													Beta-binomial cryptic-versus-canonical read model	-1.8981096855269024	log odds of a cryptic read per rs7080009 risk-aligned allele	0.1498516183426692	0.0917795123794693	0.2374990103501709	4.4481532412310823e-14	beta-binomial likelihood-ratio test	147.0	True	A read-count model accounting for overdispersion supports lower cryptic-versus-canonical read use with increasing rs7080009 risk-allele dosage.																									
canonical-cryptic model audit													Fisher exact: risk homozygotes versus other genotypes	0.0	odds ratio for any cryptic-acceptor read	0.0			1.198821058677786e-18	Fisher exact test	147.0	True	The zero cryptic-read count in risk homozygotes constitutes complete separation and motivates penalized inference.																									
canonical-cryptic model audit													Observed donor-level canonical fraction	0.0442639106924821	absolute fraction difference: genotype 2 minus genotype 0					descriptive	147.0	True	Descriptive magnitude only; sparse competing-junction counts preclude a precise continuous isoform-shift estimate.																									
cis-MR LD audit																								minimum_eigenvalue	0.1391521224102103																							
cis-MR LD audit																								maximum_eigenvalue	3.4815205627401964																							
