analysis_block	analysis	model	candidate_path	resource	lipid	exposure	outcome	method	n_instruments	n_pcs	estimate	se	p_value	conditional_F	indirect_estimate	indirect_se	indirect_p	attenuation_fraction	posterior_probability_indirect_positive	status	interpretation
genome-wide bidirectional MR	genomewide_bidirectional					AD	TC	multiplicative random-effects IVW	64.0		0.153787191883098	0.0318804001665274	1.4079287131707474e-06								
genome-wide bidirectional MR	genomewide_bidirectional					AD	LDL	multiplicative random-effects IVW	64.0		0.2136348153114572	0.0463158882354199	3.977396019871904e-06								
genome-wide bidirectional MR	genomewide_bidirectional					AD	nonHDL	multiplicative random-effects IVW	64.0		0.1942211295577001	0.0400591023556491	1.2448351793814538e-06								
genome-wide bidirectional MR	genomewide_bidirectional					AD	HDL	multiplicative random-effects IVW	64.0		-0.0363791812248507	0.0120099252048425	0.0024528910362033								
genome-wide bidirectional MR	genomewide_bidirectional					AD	TG	multiplicative random-effects IVW	64.0		-0.0235995967145959	0.0145895189579659	0.1057548769291162								
genome-wide bidirectional MR	genomewide_bidirectional					TC	AD	multiplicative random-effects IVW	700.0		0.0181104087410925	0.0291799571698812	0.5348329037704389								
genome-wide bidirectional MR	genomewide_bidirectional					LDL	AD	multiplicative random-effects IVW	593.0		0.0109724647857521	0.030320916632915	0.717443395098665								
genome-wide bidirectional MR	genomewide_bidirectional					nonHDL	AD	multiplicative random-effects IVW	547.0		-0.0033724827028659	0.0281333400902133	0.9045822093139996								
genome-wide bidirectional MR	genomewide_bidirectional					HDL	AD	multiplicative random-effects IVW	805.0		0.1160556252607271	0.0251929515312466	4.091676902628905e-06								
genome-wide bidirectional MR	genomewide_bidirectional					TG	AD	multiplicative random-effects IVW	692.0		-0.0535730339336886	0.0272167508617011	0.0490237996046422								
APOE sensitivity	genomewide_APOE_40_50Mb_excluded					AD	TC	multiplicative random-effects IVW	49.0		-0.0077516746919513	0.0067396236962748	0.2500761996123657								
APOE sensitivity	genomewide_APOE_40_50Mb_excluded					AD	LDL	multiplicative random-effects IVW	49.0		-0.0069577693465184	0.0070861472066384	0.3261573618012492								
APOE sensitivity	genomewide_APOE_40_50Mb_excluded					AD	nonHDL	multiplicative random-effects IVW	49.0		-0.0064357600647395	0.0069670975234369	0.355623689180516								
APOE sensitivity	genomewide_APOE_40_50Mb_excluded					AD	HDL	multiplicative random-effects IVW	49.0		0.0027060084397482	0.011837573310643	0.8191838182141393								
